Name,Description,Image,Daily,Weekly,Monthly,Full Desc
Audio Package / Large,Sound Devices 552 Five Channel Mixer Package,images/products/AudioPackage2.jpg,$200.00 per day,$600.00 per week,$1800.00 per month,"

Package Includes:<br /><ul><li>Sound Devices 552 Five Channel Field Mixer w/ internal SD Card Recorder</li>&#13;
    <li>Betasnake</li>&#13;
    <li>4x 10' XLR Cables,</li>&#13;
    <li>2z 25' XLR Cables</li>&#13;
    <li>Sony Headphones</li>&#13;
    <li>(2) Countryman Wired Lavs</li>&#13;
    <li>(1) EV50 Hand Held</li>&#13;
    <li>(2) 411 Lectrosonic Wireless Lavs w/ Sanken elements</li>&#13;
    <li>K-tech Boom Pole</li>&#13;
    <li>MKH 60 Sennheiser Shotgun Mic with Foam &amp; Furry Windscreens</li>&#13;
    <li>Adapter Kit</li>&#13;
</ul>"
Audio Package / Medium,PSC 4 Channel Mixer Package,images/products/AudioPackage1.jpg,$150.00 per day,$450.00 per week,$1350.00 per month,"

Package Includes:
<ul><li>PSC 4 Channel Field Mixer</li>&#13;
    <li>Betasnake</li>&#13;
    <li>2x 10' XLR Cables</li>&#13;
    <li>2x 25' XLR Cables</li>&#13;
    <li>Sony Headphones</li>&#13;
    <li>(2) Countryman Wired Lavs</li>&#13;
    <li>(1) EV50 Hand Held Mic,</li>&#13;
    <li>(2) 211 Lectrosonic Wireless Lavs</li>&#13;
    <li>Boom Pole &amp; MKH 60 Sennheiser Shotgun Mic with Foam &amp; Furry Windscreens</li>&#13;
    <li>Adapter Kit</li>&#13;
</ul>"
Audio Package / Small,Sound Devices 3 Channel Mixer Package,images/products/AudioPackage1.jpg,$100.00 per day,$300.00 per week,$900.00 per month,"

Package Includes<br /><br /><ul><li>Sound Devices 3 Channel Field Mixer</li>&#13;
    <li>Betasnake</li>&#13;
    <li>2x 10' XLR Cables</li>&#13;
    <li>2x 25' XLR Cables</li>&#13;
    <li>Sony Headphones</li>&#13;
    <li>(2) Countryman Wired Lavs</li>&#13;
    <li>(1) EV50 Hand Held Mic</li>&#13;
    <li>Choice of  Lectrosonic Wireless Lav or Boom Pole &amp; MKH 60 Sennheiser Shotgun Mic with Rycote Softie.</li>&#13;
</ul>"
Sennheiser MKH 60 Boom Package,Sennheiser MKH 60 Super-Cardioid Shotgun..9' Van Den Bergh Boom Pole w/ Internal Cable & Shock Mount ..Rycote Windscreens..,images/products/shotgun.gif,$45.00 per day,$135.00 per week,$405.00 per month,"


<ul><li>Sennheiser MKH 60 Super-Cardioid Shotgun Mic</li>&#13;
<li>9' Van Den Bergh Boom Pole w/ Internal Cable &amp; Shock Mount</li>&#13;
<li>Rycote Windscreens</li></ul>"
552 (5) Channel Production Mixer/Recorder,,images/products/552Sounddevices.jpg,$50.00 per day,$150.00 per week,$450.00 per month,"

<h4>Inputs</h4>&#13;
<ul><li>Five high-performance microphone inputs with two-stage gain  control, limiter, variable high-pass, and solo monitoring</li>&#13;
    <li>Pre- or post-fader direct outputs per input</li>&#13;
    <li>Multiple, balanced output connections, including XLR, Hirose  10-pin, and TA3</li>&#13;
    <li>AES/EBU output option, on either XLR or 10-pin multi-pin, two  connections for four channels of digital output, sampling rates up to 96  kHz</li>&#13;
    <li>Integrated digital recorder with simple control records to SD  or SDHC media</li>&#13;
    <li>Records two tracks of uncompressed Broadcast WAV up to 96 kHz  sampling, or compressed MP3 files</li>&#13;
    <li>Accepts time code input to time-stamp recorded audio files</li>&#13;
    <li>Flexible metering modes, including zoom metering for high  precision near 0 dBfs</li>&#13;
    <li>Voice-confirmation appear in headphones for critical  operational information and when navigating Setup Menu</li>&#13;
    <li>Lightweight design uses metalized, molded carbon fiber top and  bottom panels for durability and strength</li>&#13;
    <li>Front panel is gasketed for protection from weather</li>&#13;
    <li>Powered by four-AA batteries or external 10-18 VDC</li>&#13;
</ul><h3>Superior Performance and Control</h3>&#13;
<p>Sound Devices presents the 552 Production Mixer, the most  technologically advanced portable audio mixer ever made. Using the best  analog and digital technologies, along with advanced  mechanical  construction, the 552 gives professionals a superb sounding, compact,  lightweight and power-efficient  mixer that is equally at home in simple  run-and-gun applications or in complex multi-input, multi-output  production setups.</p>&#13;
<p>The 552 contains five precision high-dynamic-range  transformer-balanced microphone inputs with expanded gain and headroom.  Each  input accepts audio sources of various types and levels.        Inputs have their  own limiter, sweepable high-pass filter, and  pre-or-post-fade direct output.</p>&#13;
<h4><img width=""80"" height=""90"" src=""http://www.sounddevices.com/images/products/552-rec-button-80px.jpg"" alt=""552 Record Controller"" class=""imagefloatright"" />Recording</h4>&#13;
<p>The 552 has an integrated two-track, digital audio recorder  writing industry-standard Broadcast Wave files to SD and SDHC media.        A simple joystick controller  is used to take command of recording  functions. Push up to begin recording. Either WAV or MP3 files can be  recorded. Recordings can be either 24 or 16 bit, with WAV files having  sampling rates from 44.1 kHz up to 96 kHz.</p>&#13;
<h4>Flexible Outputs</h4>&#13;
<p>With its three sets of balanced master outputs (plus numerous  unbalanced connections), the 552 provides complete connectivity for  multi-camera and complex production setups. Additionally, a digital  output option is available for either the XLR connectors or the 10-pin  multi-pin outputs. When selected in the Setup Menu, the master XLR  outputs can output four channels of 24-bit (or 16-bit) AES/EBU signals,  the source of which is selected in the Setup Menu.</p>&#13;
<h4>Mechanicals</h4>&#13;
<p>The 552, like all Sound Devices professional audio products, are  designed to withstand the physical and environmental extremes of field  production. The 552 uses molded, metalized carbon fiber top and bottom  chassis panels for increased durability and weight reduction.  Additionally, its front panel is gasketed for improved resistance to  moisture.<br /><img alt="""" src=""file:///Users/scotthandel/Library/Caches/TemporaryItems/moz-screenshot-3.png"" /><br /><img alt="""" src=""file:///Users/scotthandel/Library/Caches/TemporaryItems/moz-screenshot.png"" /><img alt="""" src=""file:///Users/scotthandel/Library/Caches/TemporaryItems/moz-screenshot-1.png"" /><img alt="""" src=""file:///Users/scotthandel/Library/Caches/TemporaryItems/moz-screenshot-2.png"" /></p>    

	"
Mackie CFX 12 Channel Mixer,Mackie CFX 12 Channel Mixer,images/products/mackie-cfx12-mkii.jpg,$50.00 per day,$150.00 per week,$450.00 per month,"

Designed to take the hassle out of mixing live performances, Mackie's CFX.mkII Series compact live sound mixers feature genuine Mackie mic preamps, four subgroups, precise nine-band stereo graphic equalizers for greater sonic control, and onboard EMAC(tm) 32-bit digital effects - eliminating the need for outboard effects processors and cables. Combined with Mackie Active loudspeakers, the CFX.mkII mixers are part of a complete, easy-to-use Mackie sound system. <br /><br />&#13;
What's new in CFX.mkII? New impact-resisting rubber side panels for better durability. New ergonomic updates including sturdier, more precise Onyx Series knobs. And new graphics, for better visibility in less-than-ideal lighting conditions. Best of all, the new CFX.mkII mixers come at a suggested retail price significantly lower than the original CFX Series. <br /><br />&#13;
All CFX.mkII mic/line channels feature genuine Mackie mic preamps, renowned for their high-headroom, low-noise operation. Additional channel features include unbalanced inserts and input Trim controls with individual Zero Level LEDs, <br />&#13;
3-band EQ with swept midrange, and 100Hz low cut filters for eliminating mic rumble. Each channel strip has a 60mm log-taper fader, one external, and one internal/external effects send; plus two Aux sends, pan, mute, solo (PFL), and bus assigns. The mixers also offer phase-accurate 9-band stereo graphic EQ for easy tonal shaping (and feedback supression). All three models allow two separate stage monitor mixes to be created with their own effects levels. <br /><br />&#13;
Sweet touches abound on the CFX.mkII Series - like a simple, yet utterly handy Break Switch, that lets you mute all the channels, and instantly play any souce you've plugged into the Tape inputs. (Perfect for those moments when you have to take care of business offstage, and don't want some overzealous fan grabbing a mic to belt out ""Free Bird."") <br /><br />&#13;
Thanks to our massive digital R&amp;D efforts of the past seven years, we've developed sophisticated 32-bit digital effects that rival dedicated outboard processors. Our EMAC effects sound clean and realistic - especially compared to the crude, jangling 16-bit effects on most of the other ""effects"" mixers on the market. <br /><br />&#13;
Like all Mackie mixers, the CFX.mkII Series is designed for rugged, day-in and day-out road use. Their sturdy-yet-light steel monocoque construction houses rugged, double-sided SMT-plated fiberglass circuit boards, and 60mm faders with ultra-tight lip seals for keeping out contaminants. Onyx mixer-style knobs are mounted so they ""ride"" just above the steel chassis and absorb impacts without transferring damage to the internal components. And like all Mackie mixers, the CFX.mkII feature co-molded potentiometers that don't get brittle and scratchy sounding with age.<br /><ul><li>High-headroom mic preamps with RF rejection <br />&#13;
     </li>&#13;
    <li>12 channels (8 mic/line mono, and 2 stereo line channels) <br />&#13;
     </li>&#13;
    <li>32-bit EMAC(tm) digital effects with 9 reverbs, 4 delays, phaser, chorus, flange; 2 parameter controls + EFX wide spatial expander <br />&#13;
     </li>&#13;
    <li>External and internal EFX sends <br />&#13;
     </li>&#13;
    <li>EFX to Monitor control <br />&#13;
     </li>&#13;
    <li>9-band stereo graphic equalizer <br />&#13;
     </li>&#13;
    <li>Inserts on all mic channels and main mix <br />&#13;
     </li>&#13;
    <li>True 4-bus design with direct sub outs and L/R assign <br />&#13;
     </li>&#13;
    <li>2 Pre/Post Aux sends and internal/external FX level sends on each channel <br />&#13;
     </li>&#13;
    <li>3-band EQ with swept mid (100Hz to 8kHZ) on mic/line channels <br />&#13;
     </li>&#13;
    <li>4-band EQ on stereo line channels <br />&#13;
     </li>&#13;
    <li>Pan, Mute, PFL solo on each channel <br />&#13;
     </li>&#13;
    <li>Inserts and 100Hz low-cut filters on all mic/line channels <br />&#13;
     </li>&#13;
    <li>Subwoofer output from built-in 18dB/oct. 75Hz crossover <br />&#13;
     </li>&#13;
    <li>Ingenious BREAK switch <br />&#13;
     </li>&#13;
    <li>Headphone output with level control <br />&#13;
    Tape/CD inputs with level control assignable to Main Mix via Break switch <br />&#13;
     </li>&#13;
    <li>Logarithmic taper 60mm faders <br />&#13;
     </li>&#13;
    <li>48V phantom power <br />&#13;
     </li>&#13;
    <li>12V BNC lamp jack</li>&#13;
</ul>"
PSC M4 MKII (4) Channel Field Mixer,PSC M4 MKII (4) Channel Audio Mixer..Portabrace Case..Power Supply..AA Battery Compartment,images/products/psc_m4mkii.jpg,$45.00 per day,$135.00 per week,$405.00 per month,"

The <b>PSC M4-mkII</b> is a staple in the ENG sound department. With a couple of refinements implemented after its first production run, the M4-mkII is proving to be reliable and user-friendly. Using surface mount components, the 'mkII is about 10% smaller and lighter than the NGS-X4, but the remaining space is well used. The most notable unique feature is its internal battery compartment, which is capable of taking an NP-1 style battery, or a magazine (included) loaded with 8 AA cells. The power source is brought out to two 4-pin Hirose connectors that make 1.5A of power available for accessory gear such as wireless receivers. This  For a single output/return quick connector, the 'mkII uses the more standard 10-pin Hirose with pin-outs identical with other mixers using this connector (though one production run had 2 output pins reversed, creating bewilderment). The Lexan overlay labeling gives the mixer an almost toy-like appearance, but offers much greater protection and longevity than traditional silk-screened finishes.    

	"
PSC PROMIX 3 - Field Mixer,PSC PROMIX 3 - Field Mixer,images/products/Promix 3.jpg,$25.00 per day,$75.00 per week,$225.00 per month,"

<p>The PSC <b>DV PROMIX 3</b> is a professional field audio mixer designed to fit the needs of DV Cam users while remaining cost effective and flexible enough for camcorder users as well. The mixer features 3-balanced XLR female inputs, switchable between microphone and line level signal. Each input provides individually switchable +48v phantom power. Left, Right and Center position switches are located on every input channel, routing signals to separate destinations or for panoramic placement of audio via the stereo outputs.</p>&#13;
<p>The output section features 2-balanced XLR male connectors that are also line level and microphone level switchable. Output peak limiting minimizes overloaded output signal, eliminating distortion and noisy recordings. A dedicated 1/8"" mini tape return input allows accurate monitoring of recorded signals from video cameras, recording devices etc. A separate 1/8"" mini output provides dedicated unbalanced microphone level output for compatibility with consumer camcorders.</p>&#13;
<div class=""sectionHeaders""><dl><dt>• Microphone &amp; Line Level Inputs &amp; Outputs </dt><dd>The DV PROMIX 3 features 3-balanced XLR female inputs and 2-balanced XLR male outputs. Each feature microphone and line level (user switchable) signal flow. All inputs feature individually switched +48v phantom power, while mic and line level switchable outputs provide complete compatibility with DV Cameras. </dd></dl><dl><dt>• Channel Assignment (Pan) Switches </dt><dd>Dedicated Left, Right and Center position switches are located on every input channel. These channel assignment switches send signals to the left or right outputs, routing signals to separate destinations or for panoramic placement of audio. </dd></dl><dl><dt>• Low Cut Filters </dt><dd>Each input section features a Low Frequency Cut (High Pass) filter switch. This effectively reduces noise and hum registering in the lower frequency spectrum. </dd></dl><dl><dt>• Tape / Direct Input Monitoring </dt><dd>A 1/8"" (3.5mm) mini tape return jack allows monitoring from video cameras and field recording devices, resulting in more accurate, noise free recordings. </dd></dl><dl><dt>• Output Limiters </dt><dd>The output section features user switchable audio limiting, reducing peak distortion and noise caused by overloaded output signals. </dd></dl><dl><dt>• Dedicated Microphone Level Output </dt><dd>A 1/8"" (3.5mm) mini microphone level audio output jack is provided for feeding consumer style video cameras and field recorders, that would normally feature a 1/8"" input as opposed to XLR. </dd></dl><dl><dt>• Bright LED Display </dt><dd>A bright, comprehensive LED display effectively displays audio level under bright sun light.</dd></dl></div>    

	"
Sound Devices 302 - Field Mixer,Sound Devices 302 (3) Channel Mixer..Portabrace Case..Power Supply,images/products/sd302.jpg,$40.00 per day,$120.00 per week,$360.00 per month,"

<p>The <b>Sound Devices 302</b> is a professional, compact 3 channel audio mixer designed to meet the demands of professional film, ENG / EFP and broadcast applications. Its compact design, extensive feature set and superior audio quality justify the mixer's popularity among industry professionals. The 302 features 3 balanced XLR inputs that are capable of accepting mic or line-level signal (user switchable). The output stage features stereo (L/R) balanced XLR outputs that are also mic or line level switchable (factory set to line, refer to manual for mic level set up).</p>&#13;
<p>A user friendly control panel is accessible at the top of the unit for easy set up of additional functions or signal routing. Each channel provides individually switchable +48V, +12V and +12V-T phantom power for condenser microphones. Channels 1 and 2 are stereo linkable and a polarity (phase) reverse switch is provided on channel 2. This makes the 302 ideal for M-S stereo style capturing and monitoring. Input and output limiters are user switchable and eliminate noise and distortion caused by signal overload. Low-cut filter switches eliminate noise below 80Hz and the unit is powered by 3 AA batteries or external 5 - 18VDC power source.</p>&#13;
<div class=""sectionHeaders""><dl><dt>• 3 Transformer Balanced Inputs </dt><dd>The compact mixer features 3 transformer balanced microphone or line level switchable inputs via XLR female 3-pin connectors. </dd></dl><dl><dt>• Flexible Monitoring </dt><dd>The 302's headphone monitor out is capable of varying output impedance between 8 to 1000 ohms. The monitor source is capable of individual channel, mono, stereo, M-S to stereo monitoring and more. </dd></dl><dl><dt>• Input and Output Limiting </dt><dd>Each input and stereo outputs provide input and output limiting that prevents signal overload, eliminating noise and distortion. </dd></dl><dl><dt>• Polarity (Phase) Reverse Switch </dt><dd>Channels 1 &amp; 2 are stereo linkable, channel 2 features a polarity (phase) reverse switch. This makes the 302 ideal for decoding M-S stereo captured audio signal. </dd></dl><dl><dt>• Selectable Phantom Power </dt><dd>The unit is capable of powering condenser microphones requiring +48V, +12V and +12V-T phantom power. Phantom power is individually switched for every channel. </dd></dl><dl><dt>• Low Cut Filter </dt><dd>A low-cut filter switch is available on every input, removing noise and rumble below 80Hz.</dd></dl></div>    

	"
Lectro 201 Wireless Mic System,Lectrosonics UCR201 / UM200 UHF bodypack system w/ Sanken Lav Mic,images/products/lec211tramsm.jpg,$55.00 per day,$165.00 per week,$495.00 per month,"

<ul><li>Digital Hybrid Wireless Technology*</li>&#13;
    <li>Battery or External DC power</li>&#13;
    <li>SmartSquelch circuitry</li>&#13;
    <li>SmartDiversity circuitry</li>&#13;
    <li>256 selectable UHF frequencies</li>&#13;
    <li>Constant group delay SAW filter</li>&#13;
    <li>Digital pulse counting detector</li>&#13;
    <li>Dual-band audio compandor</li>&#13;
    <li>Pilot tone controlled squelch</li>&#13;
    <li>Graphics type backlit LCD display</li>&#13;
    <li>-50 dBu to +9 dBu output levels</li>&#13;
    <li>Balanced XLR audio output</li>&#13;
    <li>Aluminum construction</li>&#13;
</ul>"
